time,open,high,low,close,volume
2017-10-06T17:00:00,23.8,24.0,23.0,23.0,0.0072
2017-10-06T21:00:00,22.8,23.4,21.4,23.1,0.0087
2017-10-07T01:00:00,23.3,23.3,21.8,21.9,0.0087
2017-10-07T05:00:00,22.3,22.4,20.8,21.3,0.0087
2017-10-07T09:00:00,21.2,21.7,20.3,20.6,0.0087
2017-10-07T13:00:00,20.4,22.1,19.9,21.7,0.0087
2017-10-07T17:00:00,22.1,22.7,21.2,22.5,0.0087
2017-10-07T21:00:00,22.3,24.2,22.1,23.1,0.0087
2017-10-08T01:00:00,23.2,24.1,22.6,23.5,0.0086
2017-10-08T05:00:00,23.4,23.7,22.7,23.7,0.0086
2017-10-08T09:00:00,23.7,23.9,23.3,23.5,0.0087
2017-10-08T13:00:00,23.5,24.8,23.3,24.8,0.0087
2017-10-08T17:00:00,24.7,25.6,24.5,25.3,0.0089
2017-10-08T21:00:00,25.3,26.8,24.2,25.1,0.0086
2017-10-09T01:00:00,25.1,25.4,22.8,24.1,0.0086
2017-10-09T05:00:00,24.0,24.2,22.7,23.2,0.0085
2017-10-09T09:00:00,23.1,25.9,23.1,25.3,0.0087
2017-10-09T13:00:00,25.5,25.6,24.6,25.2,0.0086
2017-10-09T17:00:00,25.4,25.4,23.8,24.4,0.0087
2017-10-09T21:00:00,24.5,25.2,24.3,24.9,0.0086
2017-10-10T01:00:00,24.8,25.8,24.6,25.4,0.0086
2017-10-10T05:00:00,25.3,26.1,24.8,25.3,0.0087
2017-10-10T09:00:00,25.3,25.7,24.7,25.0,0.0086
2017-10-10T13:00:00,25.0,25.7,24.8,25.3,0.0085
2017-10-10T17:00:00,25.4,25.4,24.6,25.1,0.0083
2017-10-10T21:00:00,25.2,25.4,24.6,25.0,0.0086
2017-10-11T01:00:00,24.9,25.3,24.6,25.2,0.0087
2017-10-11T05:00:00,25.0,25.4,24.4,24.7,0.0087
2017-10-11T09:00:00,24.7,25.3,24.4,24.7,0.0086
2017-10-11T13:00:00,24.9,25.2,24.4,25.0,0.0085
2017-10-11T17:00:00,25.0,25.6,24.8,25.4,0.0085
2017-10-11T21:00:00,25.0,25.5,24.7,25.5,0.0085
2017-10-12T01:00:00,25.5,25.7,25.1,25.5,0.0086
2017-10-12T05:00:00,25.3,26.1,25.2,26.0,0.0086
2017-10-12T09:00:00,26.0,26.2,25.4,25.4,0.0085
2017-10-12T13:00:00,25.5,26.3,25.0,26.1,0.0084
2017-10-12T17:00:00,26.3,27.2,25.6,26.5,0.0086
2017-10-12T21:00:00,26.2,28.1,25.6,28.1,0.0085
2017-10-13T01:00:00,28.2,29.9,28.0,29.6,0.0086
2017-10-13T05:00:00,29.4,31.2,28.9,30.9,0.0086
2017-10-13T09:00:00,30.7,33.0,30.0,30.4,0.0085
2017-10-13T13:00:00,30.7,32.4,29.2,32.1,0.0085
2017-10-13T17:00:00,31.7,33.0,30.9,31.6,0.0084
2017-10-13T21:00:00,31.8,32.8,31.1,32.8,0.0085
2017-10-14T01:00:00,32.8,33.1,32.0,33.0,0.0085
2017-10-14T05:00:00,33.0,39.2,33.0,38.2,0.0086
2017-10-14T09:00:00,38.4,43.2,38.0,41.2,0.0086
2017-10-14T13:00:00,40.8,40.9,33.2,35.5,0.0085
2017-10-14T17:00:00,35.7,36.6,35.0,36.0,0.0086
2017-10-14T21:00:00,36.4,38.5,35.3,37.7,0.0086
2017-10-15T01:00:00,37.8,40.8,37.1,38.7,0.0086
2017-10-15T05:00:00,38.7,39.1,36.2,36.7,0.0086
2017-10-15T09:00:00,36.8,38.2,36.4,37.3,0.0086
2017-10-15T13:00:00,37.2,37.7,35.6,36.7,0.0086
2017-10-15T17:00:00,36.7,36.7,34.3,34.3,0.0085
2017-10-15T21:00:00,34.5,35.3,33.0,33.0,0.0086
2017-10-16T01:00:00,32.8,35.1,32.5,34.4,0.0086
2017-10-16T05:00:00,34.8,34.8,33.1,33.9,0.0086
2017-10-16T09:00:00,33.6,34.7,33.6,34.4,0.0084
2017-10-16T13:00:00,34.3,34.6,32.8,32.9,0.0082
2017-10-16T17:00:00,32.8,33.7,32.4,32.9,0.0083
2017-10-16T21:00:00,33.0,33.3,32.3,32.3,0.0084
2017-10-17T01:00:00,32.6,33.0,32.1,32.3,0.0085
2017-10-17T05:00:00,32.5,33.5,32.3,32.5,0.0085
2017-10-17T09:00:00,32.5,33.3,31.9,32.3,0.0082
2017-10-17T13:00:00,32.3,32.3,28.2,29.3,0.0087
2017-10-17T17:00:00,29.5,31.2,28.9,29.4,0.0105
2017-10-17T21:00:00,29.4,30.3,29.2,29.8,0.0107
2017-10-18T01:00:00,29.4,31.3,29.4,30.8,0.0107
2017-10-18T05:00:00,31.0,32.0,30.3,31.3,0.0105
2017-10-18T09:00:00,31.1,31.8,29.8,30.2,0.0105
2017-10-18T13:00:00,30.1,30.7,29.7,29.7,0.0049
2017-10-18T17:00:00,29.6,29.6,29.6,29.6,0.0002
2017-10-18T21:00:00,28.8,28.8,28.7,28.7,2.0
2017-10-19T01:00:00,29.3,30.0,28.9,29.7,35.0
2017-10-19T05:00:00,29.6,31.2,29.3,30.5,39.0
2017-10-19T09:00:00,30.7,30.9,29.8,30.2,39.0
2017-10-19T13:00:00,30.6,30.7,29.6,29.6,39.0
2017-10-19T17:00:00,29.9,30.5,29.6,30.0,38.0
2017-10-19T21:00:00,30.3,30.5,29.6,30.0,39.0
2017-10-20T01:00:00,29.6,30.5,29.6,30.1,39.0
2017-10-20T05:00:00,30.0,31.3,29.9,31.1,39.0
2017-10-20T09:00:00,31.0,31.2,30.5,30.6,39.0
2017-10-20T13:00:00,30.4,31.5,30.4,31.2,25.13
2017-10-20T17:00:00,30.8,34.2,30.7,33.2,0.39
2017-10-20T21:00:00,33.2,34.5,32.8,33.2,0.34
2017-10-24T09:00:00,31.3,32.9,31.0,32.4,0.18
2017-10-24T13:00:00,32.7,33.8,32.3,33.6,0.38
2017-10-24T17:00:00,33.5,33.5,31.6,31.9,0.38
2017-10-24T21:00:00,32.5,33.3,32.1,32.5,0.38
2017-10-25T01:00:00,32.7,32.8,31.7,32.6,0.4
2017-10-25T05:00:00,32.7,32.9,31.2,31.8,0.39
2017-10-25T09:00:00,31.9,31.9,30.6,31.3,0.39
2017-10-25T13:00:00,31.4,31.9,31.1,31.3,0.39
2017-10-25T17:00:00,31.3,32.5,30.5,30.8,0.38
2017-10-25T21:00:00,30.7,31.4,30.7,30.8,0.39
2017-10-26T01:00:00,30.7,31.0,30.5,30.6,0.37
2017-10-26T05:00:00,30.8,31.9,30.8,31.9,0.39
